Plot Title: 21415544,,,,,,,
#,"Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 21415544, SEN S/N: 21415544)","High Range, μS/cm (LGR S/N: 21415544, SEN S/N: 21415544)","Temp, °C (LGR S/N: 21415544, SEN S/N: 21415544)","Specific Conductance, μS/cm (LGR S/N: 21415544)",Coupler Detached (LGR S/N: 21415544),End Of File (LGR S/N: 21415544)
116,04/30/25 8:10:00 AM,7632.7,7623.3,24.94,7635.7,,
117,04/30/25 8:20:00 AM,7551.2,7543.7,24.94,7556,,
118,04/30/25 8:30:00 AM,7509,7503.7,24.96,7512.7,,
119,04/30/25 8:40:00 AM,7450.8,7447.8,24.96,7456.8,,
120,04/30/25 8:50:00 AM,7348.5,7350.1,24.96,7359,,
121,04/30/25 9:00:00 AM,7316.5,7320.6,24.98,7326.3,,
122,04/30/25 9:10:00 AM,7217.5,7223.5,24.98,7229.2,,
123,04/30/25 9:20:00 AM,7229.4,7232.1,25.01,7233.2,,
124,04/30/25 9:30:00 AM,7150.8,7157.6,25.01,7158.7,,
125,04/30/25 9:40:00 AM,7085.9,7094,25.05,7089.1,,
126,04/30/25 9:50:00 AM,7003.3,7015,25.02,7014.6,,
127,04/30/25 10:00:00 AM,6907,6923.5,25.04,6920.2,,
128,04/30/25 10:10:00 AM,6882.8,6900.2,25.1,6888.2,,
129,04/30/25 10:20:00 AM,6832.2,6848.6,25.19,6823.8,,
130,04/30/25 10:30:00 AM,6785.7,6800.7,25.19,6776,,
131,04/30/25 10:40:00 AM,6743.2,6761.3,25.28,6724.1,,
132,04/30/25 10:50:00 AM,6657.7,6679.9,25.24,6648.7,,
133,04/30/25 11:00:00 AM,6657.7,6679.9,25.29,6641.7,,
134,04/30/25 11:10:00 AM,6620.1,6643.5,25.42,6587.6,,
135,04/30/25 11:20:00 AM,6530.6,6558.3,25.34,6514,,
136,04/30/25 11:30:00 AM,6487.3,6516.6,25.29,6479.3,,
137,04/30/25 11:40:00 AM,6439.5,6470.7,25.29,6433.7,,
138,04/30/25 11:50:00 AM,6303.7,6339,25.29,6302.8,,
139,04/30/25 12:00:00 PM,6252,6287.9,25.33,6246.7,,
140,04/30/25 12:10:00 PM,6199.7,6237.6,25.43,6183.8,,
141,04/30/25 12:20:00 PM,6152,6189.5,25.55,6120.7,,
142,04/30/25 12:30:00 PM,6112.6,6151.7,25.62,6074.5,,
143,04/30/25 12:40:00 PM,6031.3,6072.2,25.65,5992.2,,
144,04/30/25 12:50:00 PM,5979.7,6022.3,25.65,5943,,
145,04/30/25 1:00:00 PM,5921,5964.3,25.58,5894.3,,
146,04/30/25 1:10:00 PM,5959.1,6002.5,25.82,5902.5,,
147,04/30/25 1:20:00 PM,5867.6,5913.2,25.89,5806.2,,
148,04/30/25 1:30:00 PM,5807.1,5854.7,25.9,5747.6,,
149,04/30/25 1:40:00 PM,5691.9,5742.1,25.73,5657,,
150,04/30/25 1:50:00 PM,5617.1,5667,25.73,5583,,
151,04/30/25 2:00:00 PM,5586.2,5640,25.78,5550.6,,
152,04/30/25 2:10:00 PM,5519.7,5574.7,25.8,5484.1,,
153,04/30/25 2:20:00 PM,5475.5,5530.9,25.77,5444.4,,
154,04/30/25 2:30:00 PM,5398.9,5456.3,25.72,5376.6,,
155,04/30/25 2:40:00 PM,5324.7,5382.6,25.71,5305,,
156,04/30/25 2:50:00 PM,5251.6,5311.7,25.64,5242.8,,
157,04/30/25 3:00:00 PM,5230.6,5289.6,25.69,5215.6,,
158,04/30/25 3:10:00 PM,5233.4,5294.3,25.78,5210.4,,
159,04/30/25 3:20:00 PM,5153.1,5213.5,25.71,5138.4,,
160,04/30/25 3:30:00 PM,5101,5160.9,25.59,5099.3,,
161,04/30/25 3:40:00 PM,5058.7,5122.3,25.65,5054.8,,
162,04/30/25 3:50:00 PM,5112.1,5173.6,25.83,5086.3,,
163,04/30/25 4:00:00 PM,5054.5,5117,25.72,5042.2,,
164,04/30/25 4:10:00 PM,4999.9,5061.2,25.62,4997.6,,
165,04/30/25 4:20:00 PM,4905.1,4969.7,25.5,4919.6,,
166,04/30/25 4:30:00 PM,4879.8,4945.8,25.5,4896,,
167,04/30/25 4:40:00 PM,4823.8,4888.9,25.41,4848.7,,
168,04/30/25 4:50:00 PM,4787,4853.2,25.34,4820.4,,
169,04/30/25 5:00:00 PM,4748.3,4815,25.33,4783.5,,
170,04/30/25 5:10:00 PM,4707.7,4772.7,25.23,4751.4,,
171,04/30/25 5:20:00 PM,4595.1,4660.8,25.11,4651.7,,
172,04/30/25 5:30:00 PM,4570.3,4634.5,25.05,4631.3,,
173,04/30/25 5:40:00 PM,4566.3,4632.5,25.06,4628.3,,
174,04/30/25 5:50:00 PM,4522.2,4587.2,24.97,4591.8,,
175,04/30/25 6:00:00 PM,4522.2,4587.9,25,4589.6,,
176,04/30/25 6:10:00 PM,4518.1,4584.6,24.98,4588.2,,
177,04/30/25 6:20:00 PM,4528.2,4594.4,25,4596.1,,
178,04/30/25 6:30:00 PM,4512.8,4580.7,24.96,4586.2,,
179,04/30/25 6:40:00 PM,4448.8,4515.1,24.89,4527.2,,
180,04/30/25 6:50:00 PM,4435.6,4501.3,24.85,4517.2,,
181,04/30/25 7:00:00 PM,4501.5,4568.2,24.85,4584.3,,
182,04/30/25 7:10:00 PM,5991.5,6031.8,25.14,6016.2,,
183,04/30/25 7:20:00 PM,6860.2,6867.7,25.4,6812.7,,
184,04/30/25 7:30:00 PM,4549.6,4614.1,24.82,4633.3,,
185,04/30/25 7:40:00 PM,4415.6,4481.7,24.78,4504.2,,
186,04/30/25 7:50:00 PM,4351.4,4415.6,24.75,4440.6,,
187,04/30/25 8:00:00 PM,4362,4428.7,24.76,4452.8,,
188,04/30/25 8:10:00 PM,4456.2,4522.3,24.8,4543.1,,
189,04/30/25 8:20:00 PM,4566.3,4632.5,24.85,4648.9,,
190,04/30/25 8:30:00 PM,4892.8,4954.4,24.93,4963.5,,
191,04/30/25 8:40:00 PM,5350.8,5405.4,25.05,5401.7,,
192,04/30/25 8:50:00 PM,5587.7,5637.3,24.98,5641.7,,
193,04/30/25 9:00:00 PM,5597.7,5645.4,24.94,5654.6,,
194,04/30/25 9:10:00 PM,5551.9,5602.3,24.91,5615,,
195,04/30/25 9:20:00 PM,5477,5529.6,24.84,5550.3,,
196,04/30/25 9:30:00 PM,5437.2,5491.9,24.83,5513.6,,
197,04/30/25 9:40:00 PM,5403.1,5457,24.8,5482.1,,
198,04/30/25 9:50:00 PM,5355.1,5408.7,24.79,5434.7,,
199,04/30/25 10:00:00 PM,5377,5431.5,24.8,5456.4,,
200,04/30/25 10:10:00 PM,5364.9,5418.8,24.79,5444.8,,
201,04/30/25 10:20:00 PM,5364.9,5419.4,24.79,5445.4,,
202,04/30/25 10:30:00 PM,5374.1,5428.8,24.8,5453.7,,
203,04/30/25 10:40:00 PM,5386.1,5440.2,24.8,5465.2,,
204,04/30/25 10:50:00 PM,5389,5442.9,24.78,5470.2,,
205,04/30/25 11:00:00 PM,5379.1,5432.2,24.76,5461.8,,
206,04/30/25 11:10:00 PM,5372,5424.8,24.76,5454.3,,
207,04/30/25 11:20:00 PM,5374.1,5426.8,24.74,5458.6,,
208,04/30/25 11:30:00 PM,5389,5442.9,24.74,5474.8,,
209,04/30/25 11:40:00 PM,5410.9,5462.4,24.73,5495.6,,
210,04/30/25 11:50:00 PM,5408.1,5461.7,24.67,5501.9,,
211,05/01/25 12:00:00 AM,5437.2,5491.2,24.67,5531.6,,
212,05/01/25 12:10:00 AM,5452.1,5505.4,24.62,5551.8,,
213,05/01/25 12:20:00 AM,5501.2,5553.8,24.6,5603,,
214,05/01/25 12:30:00 AM,5594.8,5643.4,24.58,5695.8,,
215,05/01/25 12:40:00 AM,5685.5,5732.6,24.57,5787,,
216,05/01/25 12:50:00 AM,5804.9,5847.2,24.56,5904,,
217,05/01/25 1:00:00 AM,5862.5,5903,24.58,5957.8,,
218,05/01/25 1:10:00 AM,5951.1,5986.8,24.6,6039.8,,
219,05/01/25 1:20:00 AM,6029.8,6066,24.6,6119.7,,
220,05/01/25 1:30:00 AM,6111.2,6145.5,24.61,6198.6,,
221,05/01/25 1:40:00 AM,6152,6186,24.62,6238.1,,
222,05/01/25 1:50:00 AM,6242.3,6270.7,24.64,6320.8,,
223,05/01/25 2:00:00 AM,6270,6296.2,24.64,6346.6,,
224,05/01/25 2:10:00 AM,6327.8,6353.5,24.66,6401.6,,
225,05/01/25 2:20:00 AM,6355.6,6379.1,24.66,6427.4,,
226,05/01/25 2:30:00 AM,6380.5,6403.4,24.67,6450.5,,
227,05/01/25 2:40:00 AM,6402.4,6425.6,24.67,6472.9,,
228,05/01/25 2:50:00 AM,6403.2,6424.9,24.67,6472.2,,
229,05/01/25 3:00:00 AM,6403.2,6424.2,24.69,6468.7,,
230,05/01/25 3:10:00 AM,6383.5,6406.8,24.67,6453.9,,
231,05/01/25 3:20:00 AM,6370.7,6395.1,24.67,6442.1,,
232,05/01/25 3:30:00 AM,6348.8,6375,24.67,6421.9,,
233,05/01/25 3:40:00 AM,6321,6345.3,24.66,6393.3,,
234,05/01/25 3:50:00 AM,6290.2,6315.5,24.66,6363.3,,
235,05/01/25 4:00:00 AM,6265.5,6292.8,24.65,6341.8,,
236,05/01/25 4:10:00 AM,6256.5,6280.4,24.66,6327.9,,
237,05/01/25 4:20:00 AM,6246.7,6274.8,24.65,6323.6,,
238,05/01/25 4:30:00 AM,6255.7,6279.7,24.66,6327.2,,
239,05/01/25 4:40:00 AM,6250.5,6277.6,24.65,6326.5,,
240,05/01/25 4:50:00 AM,6228.8,6255.5,24.62,6308.2,,
241,05/01/25 5:00:00 AM,6216.8,6244.5,24.62,6297.1,,
242,05/01/25 5:10:00 AM,6225.8,6254.2,24.61,6308.2,,
243,05/01/25 5:20:00 AM,6201.9,6228,24.52,6293.8,,
244,05/01/25 5:30:00 AM,6183.3,6210.1,24.52,6275.7,,
245,05/01/25 5:40:00 AM,6201.9,6226.6,24.56,6287,,
246,05/01/25 5:50:00 AM,6204.9,6232.1,24.56,6292.6,,
247,05/01/25 6:00:00 AM,6219.8,6247.3,24.55,6309.3,,
248,05/01/25 6:10:00 AM,6207.9,6235.6,24.53,6300.1,,
249,05/01/25 6:20:00 AM,6240.8,6269.3,24.55,6331.5,,
250,05/01/25 6:30:00 AM,6282.7,6308,24.57,6367.9,,
251,05/01/25 6:40:00 AM,6426.6,6447.1,24.62,6501.4,,
252,05/01/25 6:50:00 AM,6669.2,6679.2,24.69,6725.5,,
253,05/01/25 7:00:00 AM,6877.3,6882.5,24.71,6927.3,,
254,05/01/25 7:10:00 AM,6975,6973.1,24.74,7014,,
255,05/01/25 7:20:00 AM,6989.1,6989.4,24.76,7027.4,,
256,05/01/25 7:30:00 AM,6971.1,6968.9,24.74,7009.8,,
257,05/01/25 7:40:00 AM,6920.2,6921.4,24.76,6959.1,,
258,05/01/25 7:50:00 AM,6895.3,6896.6,24.76,6934.1,,
259,05/01/25 8:00:00 AM,6869.6,6869.8,24.79,6902.8,,
260,05/01/25 8:10:00 AM,6781.8,6786.6,24.76,6823.5,,
261,05/01/25 8:20:00 AM,6750.1,6757.8,24.79,6790.3,,
262,05/01/25 8:30:00 AM,6709.2,6714.3,24.75,6752.3,,
263,05/01/25 8:40:00 AM,6665.3,6675.7,24.78,6709.2,,
264,05/01/25 8:50:00 AM,6620.8,6633,24.76,6669.1,,
265,05/01/25 9:00:00 AM,6604,6614.9,24.79,6646.7,,
266,05/01/25 9:10:00 AM,6581,6594.6,24.8,6624.9,,
267,05/01/25 9:20:00 AM,6548.2,6563.9,24.84,6588.5,,
268,05/01/25 9:30:00 AM,6528.4,6543.7,24.85,6566.8,,
269,05/01/25 9:40:00 AM,6486.5,6499.9,24.91,6514.6,,
270,05/01/25 9:50:00 AM,6422.1,6441.5,24.91,6456.1,,
271,05/01/25 10:00:00 AM,6391.1,6411.7,24.96,6419.4,,
272,05/01/25 10:10:00 AM,6353.4,6374.3,25.02,6373.9,,
273,05/01/25 10:20:00 AM,6297.7,6320.4,25.02,6320,,
274,05/01/25 10:30:00 AM,6260.2,6284.5,25.05,6280.2,,
275,05/01/25 10:40:00 AM,6226.6,6252.8,25.1,6241.9,,
276,05/01/25 10:50:00 AM,6196.7,6222.5,25.14,6206.4,,
277,05/01/25 11:00:00 AM,6160.9,6185.4,25.29,6150,,
278,05/01/25 11:10:00 AM,6152,6179.9,25.54,6112.5,,
279,05/01/25 11:20:00 AM,6181,6203.9,25.71,6114.5,,
280,05/01/25 11:30:00 AM,6075.6,6104.4,25.55,6036.6,,
281,05/01/25 11:40:00 AM,6001,6034.6,25.29,6000.1,,
282,05/01/25 11:50:00 AM,5931.2,5962.2,25.28,5929.4,,
283,05/01/25 12:00:00 PM,5894.6,5930.9,25.29,5897,,
284,05/01/25 12:10:00 PM,5861.8,5896.8,25.4,5849.6,,
285,05/01/25 12:20:00 PM,5815.1,5854.7,25.42,5805.4,,
286,05/01/25 12:30:00 PM,5794,5832.3,25.46,5778.3,,
287,05/01/25 12:40:00 PM,5783.2,5820,25.63,5745.7,,
288,05/01/25 12:50:00 PM,5677.5,5719.1,25.6,5649.6,,
289,05/01/25 1:00:00 PM,5625.7,5669.1,25.63,5596.7,,
290,05/01/25 1:10:00 PM,5620.7,5663,25.67,5586.1,,
291,05/01/25 1:20:00 PM,5551.9,5596.9,25.71,5516.3,,
292,05/01/25 1:30:00 PM,5491.9,5538.3,25.77,5451.7,,
293,05/01/25 1:40:00 PM,5491.9,5538.3,25.82,5446,,
294,05/01/25 1:50:00 PM,5403.8,5451,25.74,5369.1,,
295,05/01/25 2:00:00 PM,5356.5,5405.4,25.74,5324.2,,
296,05/01/25 2:10:00 PM,5267.1,5318.3,25.68,5244.9,,
297,05/01/25 2:20:00 PM,5218,5271.6,25.68,5198.9,,
298,05/01/25 2:30:00 PM,5179.6,5230.9,25.69,5157.7,,
299,05/01/25 2:40:00 PM,5116.2,5169.6,25.63,5103.6,,
300,05/01/25 2:50:00 PM,5116.2,5169.6,25.71,5095.1,,
301,05/01/25 3:00:00 PM,5065.6,5120.3,25.68,5049.7,,
302,05/01/25 3:10:00 PM,5008.9,5063.2,25.63,4998.6,,
303,05/01/25 3:20:00 PM,4997.9,5053.9,25.69,4983.2,,
304,05/01/25 3:30:00 PM,4944.2,5000.8,25.56,4944.2,,
305,05/01/25 3:40:00 PM,4914.7,4972.3,25.58,4914,,
306,05/01/25 3:50:00 PM,4883.2,4939.2,25.64,4875.1,,
307,05/01/25 4:00:00 PM,4889.3,4947.2,25.63,4884.1,,
308,05/01/25 4:10:00 PM,4849.7,4909.4,25.58,4851.8,,
309,05/01/25 4:20:00 PM,4825.1,4883,25.54,4829.7,,
310,05/01/25 4:30:00 PM,4770,4829.5,25.45,4785.8,,
311,05/01/25 4:40:00 PM,4723.2,4783.3,25.41,4744,,
312,05/01/25 4:50:00 PM,4675.9,4735.2,25.34,4703.2,,
313,05/01/25 5:00:00 PM,4648.3,4708.8,25.32,4678.9,,
314,05/01/25 5:10:00 PM,4620.7,4682.5,25.31,4653.8,,
315,05/01/25 5:20:00 PM,4556.9,4617.4,25.2,4599.7,,
316,05/01/25 5:30:00 PM,4513.5,4574.1,25.1,4566.1,,
317,05/01/25 5:40:00 PM,4460.8,4521.6,25.07,4516.6,,
318,05/01/25 5:50:00 PM,4432.9,4494.1,25.04,4491.9,,
319,05/01/25 6:00:00 PM,4409,4469.9,25,4471.5,,
320,05/01/25 6:10:00 PM,4388.5,4451.6,24.94,4458.8,,
321,05/01/25 6:20:00 PM,4375.9,4437.8,24.92,4446.9,,
322,05/01/25 6:30:00 PM,4370.6,4433.2,24.91,4443.2,,
323,05/01/25 6:40:00 PM,4368.6,4429.3,24.89,4441.2,,
324,05/01/25 6:50:00 PM,4356.1,4416.9,24.85,4432.5,,
325,05/01/25 7:00:00 PM,4346.8,4409,24.83,4426.4,,
326,05/01/25 7:10:00 PM,4332.3,4395.3,24.8,4415.5,,
327,05/01/25 7:20:00 PM,4314.5,4375.7,24.74,4401.4,,
328,05/01/25 7:30:00 PM,4300,4362,24.73,4388.5,,
329,05/01/25 7:40:00 PM,4266.5,4328.7,24.65,4362.4,,
330,05/01/25 7:50:00 PM,4252.7,4314.3,24.65,4347.9,,
331,05/01/25 8:00:00 PM,4250.7,4313,24.65,4346.6,,
332,05/01/25 8:10:00 PM,4217.3,4278.5,24.58,4318.2,,
333,05/01/25 8:20:00 PM,4219.3,4280.4,24.58,4320.1,,
334,05/01/25 8:30:00 PM,4216,4277.8,24.58,4317.5,,
335,05/01/25 8:40:00 PM,4222.5,4285,24.58,4324.8,,
336,05/01/25 8:50:00 PM,4216,4278.5,24.56,4320,,
337,05/01/25 9:00:00 PM,4182.6,4243.3,24.52,4288.1,,
338,05/01/25 9:10:00 PM,4126.6,4187.3,24.47,4236,,
339,05/01/25 9:20:00 PM,4082.4,4143.1,24.44,4194,,
340,05/01/25 9:30:00 PM,4042.2,4103.4,24.42,4155.6,,
341,05/01/25 9:40:00 PM,4010.5,4070.3,24.39,4124.7,,
342,05/01/25 9:50:00 PM,3971.2,4030.8,24.38,4085.5,,
343,05/01/25 10:00:00 PM,3950,4010,24.36,4066.2,,
344,05/01/25 10:10:00 PM,3917.8,3977,24.36,4032.7,,
345,05/01/25 10:20:00 PM,3896.7,3955.6,24.34,4012.7,,
346,05/01/25 10:30:00 PM,3883.9,3943.3,24.33,4001.1,,
347,05/01/25 10:40:00 PM,3867.9,3926.5,24.31,3985.7,,
348,05/01/25 10:50:00 PM,3852.5,3909,24.31,3968,,
349,05/01/25 11:00:00 PM,3842.9,3901.9,24.3,3961.6,,
350,05/01/25 11:10:00 PM,3834.6,3894.8,24.29,3955.2,,
351,05/01/25 11:20:00 PM,3816.1,3874.8,24.27,3936.6,,
352,05/01/25 11:30:00 PM,3808.5,3867,24.26,3929.5,,
353,05/01/25 11:40:00 PM,3805.3,3862.5,24.25,3925.8,,
354,05/01/25 11:50:00 PM,3800.2,3858,24.25,3921.2,,
355,05/02/25 12:00:00 AM,3800.9,3858,24.24,3922,,
356,05/02/25 12:10:00 AM,3804,3861.2,24.22,3927,,
357,05/02/25 12:20:00 AM,3808.5,3867,24.24,3931.2,,
358,05/02/25 12:30:00 AM,3813,3870.2,24.24,3934.4,,
359,05/02/25 12:40:00 AM,3816.8,3874.1,24.24,3938.4,,
360,05/02/25 12:50:00 AM,3818.1,3876.1,24.22,3942.1,,
361,05/02/25 1:00:00 AM,3814.9,3872.2,24.21,3939,,
362,05/02/25 1:10:00 AM,3824.4,3881.2,24.21,3948.1,,
363,05/02/25 1:20:00 AM,3824.4,3881.9,24.2,3949.7,,
364,05/02/25 1:30:00 AM,3836.6,3894.8,24.2,3962.8,,
365,05/02/25 1:40:00 AM,3849.3,3907.7,24.18,3977.6,,
366,05/02/25 1:50:00 AM,3862.1,3920,24.18,3990.2,,
367,05/02/25 2:00:00 AM,3905.7,3962.7,24.18,4033.6,,
